<<<<<<< HEAD
key,key:lecturer,code,title,abstractCourse,retailPrice,link,draftMode
course1,lecturer1,ABC123,Introduction to Python,This course will teach you how to program in Python.,EUR 100.00,https://www.us.es/abc123,true
course2,lecturer2,A123,Introduction to Java,This course will teach you how to program in Java.,EUR 100.00,https://www.us.es/abc123,true
course3,lecturer1,AB123,Introduction to Rust,This course will teach you how to program in Rust.,EUR 100.00,https://www.us.es/abc123,true
course4,lecturer2,ABC000,Introduction to Haskell,This course will teach you how to program in Haskell.,EUR 100.00,https://www.us.es/abc123,true
course5,lecturer1,ABC124,Introduction to C++,This course will teach you how to program in C++.,EUR 100.00,https://www.us.es/abc123,true
course6,lecturer2,ABC146,Introduction to Javascript,This course will teach you how to program in Javascript.,EUR 100.00,https://www.us.es/abc123,false
=======
key,code,title,abstractCourse,retailPrice,link,published,key:lecturer
course1,ABC123,Titulo1,Abstract1,9€,https://www.google.com,true,lecturer1
>>>>>>> 52a071b (Task-111: first part almost done)
